artist,title,album,date,lyrics,lyrics_count,lyrics_unique_count,unique_ratio,most_common_lyrics,most_common_count_lyrics
Coldplay,The Scientist,A Rush of Blood to the Head,26/08/2002,come up to meet you tell you i'm sorry you don't know how lovely you are i had to find you tell you i need you tell you i set you apart tell me your secrets and ask me your questions oh lets go back to the start running in circles coming in tales heads are a science apart nobody said it was easy it's such a shame for us to part nobody said it was easy no-one ever said it would be this hard oh take me back to the start i was just guessing at numbers and figures pulling your puzzles apart questions of science science and progress do not speak as loud as my heart and tell me you love me come back and haunt me oh and i rush to the start running in circles chasing tails and coming back as we are nobody said it was easy oh it's such a shame for us to part nobody said it was easy no-one ever said it would be so hard i'm going back to the start oh ooooo ah ooooo oh ooooo oh ooooo,188,83,0.441,['you'],[10]
Coldplay,Viva la Vida,Viva La Vida or Death and All His Friends,25/05/2008,"i used to rule the world seas would rise when i gave the word now in the morning i sleep alone sweep the streets that i used to own i used to roll the dice feel the fear in my enemy's eyes listen as the crowd would sing: ""now the old king is dead long live the king "" one minute i held the key next the walls were closed on me and i discovered that my castles stand upon pillars of salt and pillars of sand i hear jerusalem bells are ringing roman cavalry choirs are singing be my mirror my sword and shield my missionaries in a foreign field for some reason i can't explain once you go there was never never an honest word that was when i ruled the world ohhh it was the wicked and wild wind blew down the doors to let me in shattered windows and the sound of drums people couldn't believe what i'd become revolutionaries wait for my head on a silver plate just a puppet on a lonely string oh who would ever want to be king? i hear jerusalem bells are ringing roman cavalry choirs are singing be my mirror my sword and shield my missionaries in a foreign field for some reason i can't explain i know saint peter won't call my name never an honest word but that was when i ruled the world ohhhhh ohhh ohhh i hear jerusalem bells are ringing roman cavalry choirs are singing be my mirror my sword and shield my missionaries in a foreign field for some reason i can't explain i know saint peter won't call my name never an honest word but that was when i ruled the world oooooh oooooh oooooh",293,132,0.451,['i'],[18]
Coldplay,Fix You,X&Y,06/06/2005,when you try your best but you don't succeed when you get what you want but not what you need when you feel so tired but you can't sleep stuck in reverse and the tears come streaming down your face when you lose something you can't replace when you love someone but it goes to waste could it be worse? lights will guide you home and ignite your bones and i will try to fix you high up above or down below when you're too in love to let it go but if you never try you'll never know just what you're worth lights will guide you home and ignite your bones and i will try to fix you tears stream down your face when you lose something you cannot replace tears stream down your face and i tears stream down your face i promise you i will learn from all my mistakes tears stream down your face and i lights will guide you home and ignite your bones and i will try to fix you,176,71,0.403,['you'],[20]
Coldplay,Yellow,Parachutes,26/06/2000,look at the stars look how they shine for you and everything you do yeah they were all yellow i came along i wrote a song for you and all the things you do and it was called yellow so then i took my turn oh what a thing to have done and it was all yellow your skin oh yeah your skin and bones turn into something beautiful and you know you know i love you so you know i love you so i swam across i jumped across for you oh what a thing to do 'cos you were all yellow i drew a line i drew a line for you oh what a thing to do and it was all yellow and your skin oh yeah your skin and bones turn into something beautiful and you know for you i bleed myself dry for you i bleed myself dry it's true look how they shine for you look how they shine for you look how they shine for look how they shine for you look how they shine for you look how they shine look at the stars look how they shine for you and all the things that you do,204,57,0.279,['you'],[21]
Coldplay,Hymn for the Weekend,A Head Full of Dreams,25/01/2016,from me drink from me oh-ah-oh-ah then we shoot across the sky symphony so high so high then we shoot across the sky oh angel sent from up above you know you make my world light up when i was down when i was hurt you came to lift me up life is a drink and love's a drug oh now i think i must be miles up when i was a river dried up you came to rain a flood and said drink from me drink from me when i was so thirsty pour on a symphony now i just can't get enough put your wings on me wings on me when i was so heavy pour on a symphony when i'm low low low low ah-oh-ah-oh-ah got me feeling drunk and high so high so high oh-ah-oh-ah-oh-ah now i'm feeling drunk and high so high so high woo woo-ooo-ooo-woo oh angel sent from up above i feel you coursing through my blood life is a drink and your love's about to make the stars come out put your wings on me wings on me when i was so heavy pour on a symphony when i'm low low low low ah-oh-ah-oh-ah got me feeling drunk and high so high so high oh-ah-oh-ah-oh-ah i'm feeling drunk and high so high so high ah-oh-ah-oh-ah la la la la la la la so high so high ah-oh-ah-oh-ah i'm feeling drunk and high so high so high then we shoot across the sky then we shoot across the then we shoot across the sky then we shoot across the then we shoot across the sky then we shoot across the then we shoot across the sky then we shoot across the,288,77,0.267,['high'],[19]
Coldplay,A Sky Full of Stars,Ghost Stories,02/05/2014,cause you're a sky cause you're a sky full of stars i'm going to give you my heart cause you're a sky cause you're a sky full of stars 'cause you light up the path i don't care go on and tear me apart i don't care if you do cause in a sky cause in a sky full of stars i think i saw you cause you're a sky cause you're a sky full of stars i want to die in your arms cause you get lighter the more it gets dark i'm going to give you my heart and i don't care go on and tear me apart i don't care if you do cause in a sky cause in a sky full of stars i think i see you i think i see you you're a sky you're a sky full of stars such a heavenly view you're such a heavenly view,155,47,0.303,['a'],[14]
Coldplay,Everglow,A Head Full of Dreams,26/11/2015,well they say people come say people go this particular diamond was extra special and though you might be gone and the world may not know still i see you celestial like a lion you ran a goddess you rolled like an eagle you circled in perfect purple so how come things move on? how come cars don't slow? when it feels like the end of my world? when i should but i can't let you go but when i'm cold cold and i'm cold cold there's a light that you give me when i'm in shadow there's a feeling you give me an everglow like brothers in blood sisters who ride yeah we swore on that night we'd be friends till we died but the changing of winds and the way waters flow life is short as the falling of snow and now i'm gonna miss you i know but when i'm cold cold in water rolled salt and i know that you're with me ant the way you will show and you're with me wherever i go but you give me this feeling this everglow yeah what i wouldn't give for just a moment to hold yeah i live for this feeling this everglow so if you love someone you should let them know oh the light that you left me will everglow,225,118,0.524,['you'],[14]
Coldplay,Adventure of a Lifetime,A Head Full of Dreams,06/11/2015,turn your magic on umi she'd say everything you want's a dream away we are legends every day that's what she told me turn your magic on to me she'd say everything you want's a dream away under this pressure under this weight we are diamonds i feel my heart beating i feel my heart underneath my skin i feel my heart beating oh you make me feel like i'm alive again alive again oh you make me feel like i'm alive again said i can't go on not in this way i'm a dream that died by light of day gonna hold up half the sky and say only i own me i feel my heart beating i feel my heart underneath my skin oh i can feel my heart beating 'cause you make me feel like i'm alive again alive again oh you make me feel like i'm alive again turn your magic on umi she'd say everything you want's a dream away under this pressure under this weight we are diamonds taking shape we are diamonds taking shape woo woo if we've only got this life this adventure oh then i and if we've only got this life you'll get me through alive and if we've only got this life in this adventure oh then i wanna share it with you with you with you i said oh say oh woo hoo woo hoo,237,81,0.342,['i'],[11]
Coldplay,Orphans,Everyday Life,24/10/2019,rosaleem of the damascene yes she had eyes like the moon would have been on the silver screen but for the missile monsoon she went woo woo woo woo oh-oh-oh indigo up in heaven today woo woo woo woo oh-oh-oh bombs going boom ba-boom-boom she says i want to know when i can go back and get drunk with my friends i want to know when i can go back and be young again baba would go where the flowers grow almond and peach trees in bloom and he would know just when and what to sow so golden and opportune he went woo woo woo woo oh-oh-oh tulips the colour of honey today it's true true woo woo oh-oh-oh bombs going boom ba-boom-boom he says oh i want to know when i can go back and get drunk with my friends i want to know when i can go back and be young again woo woo woo woo oh-oh-oh woo woo woo woo oh-oh-oh cherubim seraphim soon come sailing us home by the light of the moon oh i want to know when i can go back and get drunk with my friends i want to know when i can go back and feel home again woo woo woo woo oh-oh-oh i guess we'll be raised on our own then woo woo woo woo oh-oh-oh i want to be with you 'til the world ends i want to be with you 'til the whole world ends,247,92,0.372,['woo'],[30]
Coldplay,Paradise,Mylo Xyloto,12/09/2011,"ooooh when she was just a girl she expected the world but it flew away from her reach so she ran away in her sleep and dreamed of para-para-paradise para-para-paradise para-para-paradise every time she closed her eyes ooooh when she was just a girl she expected the world but it flew away from her reach and bullets catch in her teeth life goes on it gets so heavy the wheel breaks the butterfly every tear a waterfall in the night the stormy night she closed her eyes in the night the stormy night away she flied and dreamed of para-para-paradise para-para-paradise para-para-paradise whoa-oh-oh oh-oooh oh-oh-oh she dreamed of para-para-paradise para-para-paradise para-para-paradise whoa-oh-oh oh-oooh oh-oh-oh la la la and so lying underneath those stormy skies she'd say ""oh ohohohoh i know the sun must set to rise"" this could be para-para-paradise para-para-paradise para-para-paradise oh oh oh oh oh oh-oh-oh this could be para-para-paradise para-para-paradise para-para-paradise oh oh oh oh oh oh-oh-oh-oh this could be para-para-paradise para-para-paradise para-para-paradise oh oh oh oh oh oh-oh-oh-oh ooooh",173,69,0.399,['para-para-paradise'],[18]
